abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
4.682083,-0.343709,0.832485,-3.919429,4.021578,0.000000,0.000000,3.799491,20.347419,1890.040578,14.512012,-7.705776,6.388939,17.629408,0.450704,-0.798292,12.058072,4.788850,320.827744
4.682500,-0.383981,0.751624,-3.283510,3.390253,0.000000,0.000000,3.799676,20.347064,1890.038980,14.512074,-7.826495,4.967602,17.220087,0.639950,-1.035922,12.051992,4.792131,320.829737
4.682917,-0.785739,1.274801,-5.966196,6.151260,0.000000,0.000000,3.799970,20.346572,1890.036603,14.992163,-8.228380,2.442834,17.275377,1.481365,-2.141708,12.045753,4.795537,320.830973
4.683333,-0.705388,1.235007,-7.072071,7.213668,0.000000,0.000000,3.800263,20.346083,1890.033700,15.352323,-8.308858,3.059199,17.722575,1.371523,-1.420400,12.039376,4.799016,320.832292
4.683750,-0.624909,0.832102,-7.544968,7.616393,0.000000,0.000000,3.800541,20.345700,1890.030381,15.432086,-8.630520,4.315887,18.200606,1.093586,-1.028857,12.032915,4.802612,320.834068
4.684167,-0.785486,0.953267,-10.544389,10.616489,0.000000,0.000000,3.800854,20.345319,1890.026284,15.952402,-8.952053,5.242488,19.028979,1.059103,-0.612592,12.026257,4.806350,320.836176
4.684583,-0.745468,0.831848,-9.281371,9.348345,0.000000,0.000000,3.801153,20.345006,1890.022373,16.632558,-9.394136,5.078165,19.765615,1.184265,-0.595079,12.019358,4.810240,320.838423
4.685000,-0.544367,0.227682,-8.645452,8.665565,0.000000,0.000000,3.801366,20.344883,1890.018880,16.872791,-9.474573,6.801724,20.511510,0.945475,-0.354728,12.012299,4.814201,320.841225
4.685417,-0.142481,0.026421,-6.433702,6.435334,0.000000,0.000000,3.801465,20.344886,1890.015991,17.513160,-9.755740,8.060033,21.606697,0.810069,-0.284035,12.005016,4.818241,320.844627
4.685833,-0.303311,-0.375847,-7.219903,7.236039,0.000000,0.000000,3.801574,20.345023,1890.013103,17.953398,-9.675303,9.944132,22.689684,0.660998,-0.175249,11.997552,4.822253,320.848803
4.686250,-0.222769,-0.496375,-6.272640,6.296191,0.000000,0.000000,3.801675,20.345244,1890.010369,18.153655,-9.313573,12.300675,23.824450,0.563008,-0.112034,11.989974,4.826139,320.853884
4.686667,-0.262977,-0.818800,-7.060800,7.112980,0.000000,0.000000,3.801766,20.345563,1890.007471,18.553917,-9.032321,14.027155,24.951789,0.513433,-0.071860,11.982227,4.829883,320.859718
4.687083,-0.021922,-0.818419,-7.217453,7.263740,0.000000,0.000000,3.801763,20.345915,1890.004475,19.194350,-8.469731,15.592765,26.139888,0.476656,-0.010076,11.974240,4.833390,320.866356
4.687500,0.379964,-0.979504,-7.216962,7.293034,0.000000,0.000000,3.801602,20.346318,1890.001347,19.674375,-7.585609,19.197686,28.516199,0.439174,0.043798,11.966040,4.836562,320.874422
4.687917,0.821804,-1.060110,-8.954346,9.054254,0.000000,0.000000,3.801288,20.346734,1889.997649,20.194501,-6.862359,23.758086,31.927363,0.368815,0.072883,11.957623,4.839407,320.884266
4.688333,0.862011,-0.777733,-10.215403,10.281167,0.000000,0.000000,3.800901,20.347064,1889.993349,20.754163,-5.938208,27.520369,34.976683,0.350830,0.113010,11.948978,4.841878,320.896017
4.688750,1.303724,-0.577363,-12.109928,12.193581,0.000000,0.000000,3.800394,20.347302,1889.988402,21.274291,-4.973775,35.385742,41.587073,0.294287,0.114135,11.940130,4.843945,320.910630
4.689167,1.223435,-0.335671,-12.582335,12.646131,0.000000,0.000000,3.799873,20.347444,1889.983203,21.554122,-3.928992,41.359152,46.803809,0.268878,0.122751,11.931152,4.845613,320.927863
4.689583,1.303787,-0.134792,-12.426173,12.495111,0.000000,0.000000,3.799346,20.347517,1889.977882,21.794103,-3.326121,47.333554,52.216006,0.251300,0.127327,11.922080,4.847002,320.947618
4.690000,1.143211,-0.175222,-14.322169,14.368791,0.000000,0.000000,3.798873,20.347565,1889.972090,21.913967,-2.763405,53.783282,58.142066,0.224013,0.134893,11.912949,4.848122,320.969875
4.690417,0.942046,0.147203,-13.690660,13.723822,0.000000,0.000000,3.798472,20.347526,1889.966211,22.033707,-1.758776,58.033148,62.100111,0.204548,0.142002,11.903796,4.848905,320.994045
4.690833,0.861821,0.146821,-15.585676,15.610176,0.000000,0.000000,3.798096,20.347473,1889.959848,21.753623,-1.477185,62.123716,65.838882,0.193373,0.144722,11.894749,4.849487,321.020006
4.691250,1.022588,0.026421,-15.583226,15.616764,0.000000,0.000000,3.797706,20.347440,1889.953246,21.233434,-0.713611,67.315294,70.588361,0.183208,0.145126,11.885907,4.849802,321.047880
4.691667,0.660529,0.227937,-17.160527,17.174747,0.000000,0.000000,3.797392,20.347370,1889.946260,20.633229,-0.190923,69.994652,72.972721,0.174214,0.144600,11.877304,4.849906,321.077154
4.692083,0.861630,0.066597,-16.371386,16.394180,0.000000,0.000000,3.797033,20.347337,1889.939295,20.112913,-0.030092,74.248596,76.924535,0.159612,0.147207,11.868938,4.849896,321.108189
4.692500,1.062351,-0.013628,-17.638324,17.670293,0.000000,0.000000,3.796599,20.347348,1889.931957,19.392403,0.452399,79.916992,82.237434,0.147030,0.147363,11.860858,4.849733,321.141280
4.692917,1.142957,-0.174840,-18.745179,18.780805,0.000000,0.000000,3.796114,20.347410,1889.924289,18.671957,0.572990,82.603535,84.689517,0.137430,0.141730,11.853075,4.849489,321.175720
4.693333,1.343931,-0.174713,-17.802327,17.853837,0.000000,0.000000,3.795554,20.347480,1889.916784,17.991611,0.774102,85.601750,87.475465,0.130267,0.137201,11.845606,4.849202,321.211453
4.693750,1.545160,-0.134283,-18.121511,18.187763,0.000000,0.000000,3.794899,20.347539,1889.909365,16.911320,0.452991,89.544295,91.128364,0.119568,0.135570,11.838529,4.848983,321.248731
4.694167,1.906775,-0.134155,-16.546660,16.656703,0.000000,0.000000,3.794082,20.347597,1889.902492,16.271013,0.573794,93.028423,94.442377,0.105444,0.122048,11.831772,4.848775,321.287286
4.694583,2.589860,-0.174076,-14.654094,14.882210,0.000000,0.000000,3.793034,20.347664,1889.896255,15.311089,0.252810,93.521721,94.767113,0.093720,0.111520,11.825420,4.848672,321.326166
4.695000,2.831042,-0.133773,-14.658505,14.929985,0.000000,0.000000,3.791857,20.347720,1889.890312,13.950902,-0.108667,92.757191,93.800512,0.077766,0.104894,11.819615,4.848720,321.364782
4.695417,3.032016,-0.093470,-12.289613,12.658453,0.000000,0.000000,3.790594,20.347781,1889.885191,12.470788,-0.510299,91.521339,92.368482,0.064487,0.092092,11.814433,4.848955,321.402828
4.695833,3.232737,-0.375083,-9.926111,10.446002,0.000000,0.000000,3.789255,20.347918,1889.880935,10.790668,-1.233253,89.029934,89.689958,0.050947,0.074072,11.809890,4.849410,321.439847
4.696250,3.313089,-0.374829,-9.296072,9.875931,0.000000,0.000000,3.787866,20.348057,1889.877138,9.790580,-1.112620,85.430851,85.997230,0.030895,0.067493,11.805858,4.849958,321.475542
4.696667,3.513936,-0.132882,-7.563589,8.341060,0.000000,0.000000,3.786433,20.348099,1889.874041,8.110209,-2.197389,83.251449,83.674415,0.013713,0.052761,11.802462,4.850842,321.510099
4.697083,3.273008,0.310198,-5.042455,6.019565,0.000000,0.000000,3.785055,20.347992,1889.871907,6.669944,-2.840033,79.182385,79.513546,-0.002140,0.033684,11.799652,4.852043,321.543113
4.697500,3.232927,0.431490,-2.992258,4.426241,0.000000,0.000000,3.783725,20.347787,1889.870562,5.669604,-3.723987,75.418853,75.723285,-0.018200,0.027249,11.797317,4.853591,321.574581
4.697917,2.951474,0.914364,-2.364179,3.890579,0.000000,0.000000,3.782509,20.347406,1889.869829,4.269063,-4.567659,72.287126,72.556991,-0.031662,0.010805,11.795516,4.855481,321.604613
4.698333,2.469617,1.398003,1.895318,3.412573,-0.122794,1.764776,3.781508,20.346868,1889.870476,3.188519,-5.210473,67.892671,68.166931,-0.051321,-0.000881,11.794193,4.857646,321.632890
4.698750,1.585938,1.237681,4.106578,4.572859,-0.142540,1.005162,3.780805,20.346305,1889.872275,2.028086,-5.773062,63.336692,63.631579,-0.070179,-0.009943,11.793304,4.860043,321.659313
4.699167,1.304676,1.760732,7.576935,7.887477,-0.145376,0.585130,3.780281,20.345605,1889.875454,1.507707,-6.215018,59.248053,59.592209,-0.080055,-0.024986,11.792701,4.862672,321.683726
4.699583,0.742213,1.801416,11.366966,11.532732,-0.176071,0.467837,3.779978,20.344807,1889.880212,0.627231,-7.219478,51.218864,51.728970,-0.108982,-0.030845,11.792434,4.865607,321.705363
4.700000,0.099463,2.526110,15.472262,15.677436,-0.161492,0.355643,3.779919,20.343785,1889.886495,-0.173167,-7.179365,47.451838,47.992189,-0.131975,-0.058725,11.792473,4.868599,321.724860
4.700417,-0.302486,2.808105,17.213076,17.443249,-0.180556,0.334969,3.780087,20.342612,1889.893634,-0.493666,-7.139168,39.728159,40.367537,-0.171166,-0.054598,11.792706,4.871599,321.741359
4.700833,-1.306661,3.130021,18.478054,18.786774,-0.204860,0.329177,3.780595,20.341314,1889.901388,-1.214113,-7.460618,31.223337,32.125249,-0.231209,-0.072075,11.793170,4.874663,321.754784
4.701250,-1.788898,3.372222,20.533641,20.885460,-0.210572,0.287608,3.781369,20.339900,1889.909878,-1.334167,-7.139084,28.697361,29.602112,-0.255762,-0.067214,11.793751,4.877629,321.766414
4.701667,-2.672514,3.734315,21.637066,22.118998,-0.226835,0.284915,3.782471,20.338347,1889.919003,-1.814381,-6.697086,21.447749,22.542158,-0.337675,-0.095618,11.794466,4.880422,321.775514
4.702083,-3.395616,4.056104,24.322693,24.891275,-0.201612,0.259587,3.783886,20.336679,1889.929072,-1.694579,-6.295411,16.553516,17.791085,-0.447482,-0.067926,11.795197,4.883040,321.782455
4.702500,-4.118782,4.056486,26.060566,26.694054,-0.215963,0.219027,3.785605,20.334997,1889.939865,-1.934434,-5.813217,12.288205,13.730823,-0.582499,-0.034508,11.796005,4.885467,321.787651
4.702917,-4.882029,3.935067,26.854117,27.576486,-0.204432,0.247761,3.787642,20.333352,1889.951163,-2.214706,-5.411458,9.125699,10.838227,-0.731569,0.012390,11.796906,4.887736,321.791606
4.703333,-5.685102,3.894636,29.225459,30.026921,-0.192072,0.210728,3.789963,20.331760,1889.963286,-2.174163,-5.210515,8.159195,9.922143,-0.720958,0.188620,11.797806,4.889899,321.794854
4.703750,-5.805851,3.411634,30.808152,31.535526,-0.184147,0.193549,3.792377,20.330319,1889.976112,-2.053795,-4.889108,5.001743,7.289643,-1.163346,0.393744,11.798693,4.891939,321.797047
4.704167,-5.845869,3.209864,32.232722,32.915433,-0.176983,0.197323,3.794818,20.328996,1889.989641,-2.373602,-4.607856,3.410733,6.204790,-1.545446,0.897319,11.799654,4.893831,321.798414
4.704583,-5.966365,2.807341,35.080391,35.694713,-0.168109,0.181916,3.797296,20.327820,1890.004137,-2.293399,-3.924803,1.042472,4.663744,-4.710291,3.063101,11.800582,4.895477,321.798837
4.705000,-5.966491,2.485043,36.190186,36.762807,-0.152866,0.166087,3.799748,20.326791,1890.019183,-1.812744,-3.402538,-1.489645,4.133080,0.000000,0.000000,11.801343,4.896923,321.798533
4.705417,-5.484445,2.081629,36.825125,37.289438,-0.149127,0.181794,3.802003,20.325901,1890.034428,-1.412419,-3.281989,0.544286,3.614226,-8.066500,9.560625,11.801942,4.898262,321.798454
4.705833,-4.560431,2.000768,36.036963,36.379435,-0.143583,0.165928,3.803914,20.325078,1890.049312,-1.172186,-2.759766,-1.820258,3.507659,0.000000,0.000000,11.802411,4.899412,321.797860
4.706250,-3.797312,1.759203,33.354279,33.615804,-0.143395,0.174646,3.805488,20.324309,1890.063363,-0.651934,-2.237628,-1.824182,2.959669,0.000000,0.000000,11.802666,4.900333,321.797111
4.706667,-2.913633,2.039925,32.882362,33.074163,-0.119632,0.181680,3.806719,20.323501,1890.076867,0.108048,-1.554702,-1.673692,2.286923,0.000000,0.000000,11.802674,4.901018,321.796413
4.707083,-2.270946,1.717500,29.566207,29.702990,-0.117337,0.178285,3.807654,20.322752,1890.089362,0.108615,-1.394210,-1.523725,2.068177,0.000000,0.000000,11.802579,4.901590,321.795780
4.707500,-1.467745,1.878330,28.781476,28.880024,-0.107004,0.173217,3.808246,20.321989,1890.101299,0.828747,-1.113169,-1.354684,1.939365,0.000000,0.000000,11.802278,4.902057,321.795105
4.707917,-0.383219,1.757294,27.205646,27.265034,-0.093324,0.167176,3.808433,20.321251,1890.112382,0.908888,-0.872241,-2.775697,3.048176,0.000000,0.000000,11.801893,4.902417,321.794026
4.708333,0.299549,1.716481,21.997904,22.066804,-0.094421,0.204279,3.808311,20.320508,1890.121680,1.068917,-0.591116,-3.083488,3.316610,0.000000,0.000000,11.801431,4.902658,321.792664
4.708750,0.941982,2.078445,18.682729,18.821574,-0.082777,0.218738,3.807924,20.319653,1890.129398,1.469305,-0.229681,-4.496005,4.735575,0.000000,0.000000,11.800850,4.902782,321.790758
4.709167,1.504381,2.279452,14.421762,14.678088,-0.070141,0.240393,3.807300,20.318695,1890.135418,1.429392,-0.270132,-6.382269,6.545952,0.000000,0.000000,11.800229,4.902861,321.788099
4.709583,2.026382,2.601496,10.316956,10.831140,-0.074940,0.302213,3.806473,20.317600,1890.139750,1.749451,0.171401,-8.264276,8.449154,0.000000,0.000000,11.799506,4.902840,321.784776
4.710000,2.307391,3.084243,6.684556,7.714914,-0.033478,0.404598,3.805497,20.316351,1890.142491,1.989243,-0.110021,-8.414747,8.647379,0.000000,0.000000,11.798657,4.902855,321.781182
4.710417,2.789565,3.043939,2.420159,4.785855,0.130336,0.820960,3.804321,20.315057,1890.143532,2.509559,0.050640,-9.826144,10.141674,0.000000,0.000000,11.797640,4.902862,321.777044
4.710833,3.472396,3.365856,-1.370853,5.026505,0.000000,0.000000,3.802927,20.313694,1890.143016,2.629738,-0.190626,-11.866618,12.156006,0.000000,0.000000,11.796538,4.902952,321.772187
4.711250,3.392235,3.123655,-4.370273,6.353248,0.000000,0.000000,3.801483,20.312384,1890.141228,2.829743,-0.592555,-12.646166,12.972436,0.000000,0.000000,11.795348,4.903196,321.766841
4.711667,3.753659,3.002490,-6.897288,8.406990,0.000000,0.000000,3.799950,20.311164,1890.138310,3.189967,-0.954412,-14.536996,14.913451,0.000000,0.000000,11.794069,4.903599,321.760948
4.712083,3.673498,2.439010,-10.055810,10.980104,0.000000,0.000000,3.798400,20.310170,1890.134274,2.829806,-1.396368,-14.067043,14.416634,0.000000,0.000000,11.792840,4.904181,321.755108
4.712500,3.874218,1.553231,-11.004053,11.769082,0.000000,0.000000,3.796786,20.309489,1890.129612,3.190219,-1.838535,-13.278401,13.779464,0.000000,0.000000,11.791544,4.904970,321.749444
4.712917,4.075129,1.150326,-13.057682,13.727089,0.000000,0.000000,3.795096,20.309055,1890.124227,3.070165,-2.601940,-14.384309,14.936678,0.000000,0.000000,11.790262,4.906037,321.743539
4.713333,4.155291,0.104098,-14.318738,14.909847,0.000000,0.000000,3.793342,20.308989,1890.118414,2.990276,-3.124417,-14.224402,14.867325,0.000000,0.000000,11.789008,4.907339,321.737491
4.713750,4.557304,-0.620595,-13.374416,14.143167,0.000000,0.000000,3.791463,20.309222,1890.112589,3.030567,-3.646936,-15.800280,16.496464,0.000000,0.000000,11.787745,4.908861,321.731006
4.714167,4.677736,-0.982815,-16.057592,16.753907,0.000000,0.000000,3.789503,20.309649,1890.106129,3.070668,-4.209482,-15.961029,16.789973,0.000000,0.000000,11.786452,4.910585,321.724213
4.714583,4.958745,-1.586344,-15.423633,16.278639,0.000000,0.000000,3.787442,20.310301,1890.099614,3.311027,-4.330031,-18.170734,18.970705,0.000000,0.000000,11.785089,4.912400,321.716555
4.715000,5.159719,-2.068836,-16.057592,16.992618,0.000000,0.000000,3.785303,20.311160,1890.092902,3.311216,-4.611283,-21.629603,22.362196,0.000000,0.000000,11.783701,4.914307,321.707695
4.715417,5.199800,-2.511789,-17.003875,17.957694,0.000000,0.000000,3.783128,20.312171,1890.085849,3.431647,-4.691762,-22.899997,23.626229,0.000000,0.000000,11.782268,4.916229,321.698023
4.715833,5.360377,-2.430801,-17.479712,18.444044,0.000000,0.000000,3.780923,20.313198,1890.078665,3.591739,-4.290003,-26.049652,26.643744,0.000000,0.000000,11.780763,4.918033,321.687267
4.716250,5.119512,-2.551328,-16.532939,17.494478,0.000000,0.000000,3.778779,20.314263,1890.071656,3.872200,-4.129427,-27.790211,28.360922,0.000000,0.000000,11.779175,4.919779,321.675546
4.716667,5.039033,-2.712032,-17.324529,18.245171,0.000000,0.000000,3.776690,20.315399,1890.064525,3.792311,-4.330412,-31.566001,32.086548,0.000000,0.000000,11.777589,4.921547,321.662349
4.717083,4.798168,-2.953087,-16.850653,17.767601,0.000000,0.000000,3.774699,20.316593,1890.057438,3.792437,-4.008920,-35.985189,36.405877,0.000000,0.000000,11.775998,4.923234,321.647356
4.717500,4.436553,-2.670328,-17.322079,18.079493,0.000000,0.000000,3.772853,20.317703,1890.050297,3.952277,-3.928484,-40.397860,40.780395,0.000000,0.000000,11.774362,4.924857,321.630611
4.717917,4.034668,-2.348030,-16.693511,17.333929,0.000000,0.000000,3.771206,20.318673,1890.043287,3.952088,-3.647147,-43.551765,43.882536,0.000000,0.000000,11.772696,4.926374,321.612463
4.718333,3.151053,-1.904822,-16.849673,17.247289,0.000000,0.000000,3.769868,20.319467,1890.036299,4.232234,-3.325909,-46.716061,47.025141,0.000000,0.000000,11.770946,4.927771,321.592934
4.718750,2.628988,-1.461486,-16.536859,16.808190,0.000000,0.000000,3.768809,20.320050,1890.029376,4.311934,-3.165164,-50.807595,51.088382,0.000000,0.000000,11.769136,4.929101,321.571894
4.719167,1.584986,-0.656569,-16.695471,16.783385,0.000000,0.000000,3.768106,20.320349,1890.022474,4.591702,-3.165164,-53.030800,53.323238,0.000000,0.000000,11.767239,4.930414,321.549722
4.719583,1.143147,-0.213743,-16.065433,16.107470,0.000000,0.000000,3.767689,20.320444,1890.015769,4.631364,-3.084770,-56.340638,56.614775,0.000000,0.000000,11.765326,4.931693,321.526334
4.720000,-0.142354,0.148477,-15.591556,15.592913,0.000000,0.000000,3.767723,20.320376,1890.009295,4.431232,-2.924024,-58.399518,58.640340,0.000000,0.000000,11.763422,4.932940,321.502034
4.720417,-1.066177,0.591302,-14.800455,14.850584,0.000000,0.000000,3.768150,20.320141,1890.003139,5.070784,-3.165206,-59.977662,60.274798,0.000000,0.000000,11.761339,4.934231,321.477054
4.720833,-1.748755,0.873297,-13.854662,13.991871,0.000000,0.000000,3.768890,20.319808,1889.997333,5.270411,-3.004545,-61.399958,61.698941,0.000000,0.000000,11.759138,4.935508,321.451514
4.721250,-2.592226,0.712467,-13.381767,13.649136,0.000000,0.000000,3.769926,20.319508,1889.991724,5.550179,-3.205530,-62.201789,62.531132,0.000000,0.000000,11.756831,4.936824,321.425531
4.721667,-2.793200,0.591812,-13.381277,13.682499,0.000000,0.000000,3.771115,20.319262,1889.986313,5.749870,-3.125178,-63.953844,64.287805,0.000000,0.000000,11.754432,4.938115,321.399103
4.722083,-3.355282,0.471284,-11.012385,11.521833,0.000000,0.000000,3.772490,20.319077,1889.981495,5.989725,-2.884038,-62.544571,62.896883,0.000000,0.000000,11.751895,4.939339,321.373076
4.722500,-3.596527,0.189416,-11.960627,12.491096,0.000000,0.000000,3.773964,20.319012,1889.976621,6.829911,-2.964348,-60.658614,61.113848,0.000000,0.000000,11.749080,4.940552,321.347659
4.722917,-3.475968,-0.293585,-11.327159,11.852134,0.000000,0.000000,3.775434,20.319128,1889.971967,7.229669,-2.723377,-60.824826,61.313493,0.000000,0.000000,11.746087,4.941678,321.322479
4.723333,-3.677133,-0.695471,-9.747407,10.441117,0.000000,0.000000,3.776900,20.319418,1889.967829,7.349660,-2.361731,-58.631578,59.137613,0.000000,0.000000,11.742977,4.942665,321.298060
4.723750,-2.913760,-1.098121,-9.274021,9.782807,0.000000,0.000000,3.778164,20.319895,1889.963943,8.149744,-2.040028,-56.274995,56.898639,0.000000,0.000000,11.739626,4.943495,321.274711
4.724167,-2.873869,-1.782129,-9.115408,9.722437,0.000000,0.000000,3.779333,20.320613,1889.960100,8.309836,-1.436861,-52.500834,53.173823,0.000000,0.000000,11.736163,4.944100,321.252891
4.724583,-2.432157,-2.104682,-9.590755,10.115713,0.000000,0.000000,3.780338,20.321476,1889.956115,8.469991,-0.914384,-47.933446,48.684619,0.000000,0.000000,11.732645,4.944464,321.232885
4.725000,-1.869695,-2.225210,-9.907490,10.325002,0.000000,0.000000,3.781109,20.322425,1889.952020,8.470432,-0.150853,-43.846602,44.657536,0.000000,0.000000,11.729097,4.944524,321.214693
4.725417,-1.186927,-2.667908,-9.748877,10.176794,0.000000,0.000000,3.781601,20.323520,1889.947903,8.750578,0.653045,-38.646063,39.629752,0.000000,0.000000,11.725489,4.944280,321.198514
4.725833,-0.464015,-2.869551,-10.383326,10.782536,0.000000,0.000000,3.781803,20.324663,1889.943489,8.470558,1.055269,-34.550581,35.589417,0.000000,0.000000,11.721965,4.943840,321.184216
4.726250,0.138718,-2.305816,-12.278341,12.493746,0.000000,0.000000,3.781742,20.325668,1889.938516,8.110838,1.457197,-29.035407,30.182180,0.000000,0.000000,11.718589,4.943222,321.172053
4.726667,0.781406,-2.387314,-12.123160,12.380665,0.000000,0.000000,3.781433,20.326635,1889.933399,7.711079,2.020125,-24.462824,25.728805,0.000000,0.000000,11.715362,4.942413,321.161838
4.727083,1.182847,-2.065653,-12.911810,13.129390,0.000000,0.000000,3.780951,20.327481,1889.927931,7.511011,2.100900,-20.198961,21.652415,0.000000,0.000000,11.712277,4.941496,321.153477
4.727500,1.423966,-1.542347,-14.967889,15.114371,0.000000,0.000000,3.780353,20.328107,1889.921618,6.670699,2.783995,-15.145954,16.782395,0.000000,0.000000,11.709495,4.940367,321.147188
4.727917,1.745436,-0.777733,-18.124941,18.225392,0.000000,0.000000,3.779639,20.328468,1889.914208,5.870616,3.025431,-9.777045,11.798643,0.000000,0.000000,11.707054,4.939106,321.142862
4.728333,1.866122,-0.536805,-19.235227,19.332991,0.000000,0.000000,3.778839,20.328652,1889.906193,4.990328,3.266656,-8.035853,10.007465,0.000000,0.000000,11.704964,4.937759,321.139722
4.728750,2.308026,0.267985,-20.343063,20.475327,0.000000,0.000000,3.777906,20.328563,1889.897553,4.269882,3.307191,-3.300229,6.329369,0.000000,0.000000,11.703212,4.936367,321.138314
4.729167,2.348043,0.750732,-23.817339,23.944573,0.000000,0.000000,3.776958,20.328278,1889.887815,3.149550,3.548458,0.969109,4.842561,2.555281,3.235081,11.701889,4.934925,321.138718
4.729583,1.946221,0.831721,-24.606970,24.697824,0.000000,0.000000,3.776122,20.327929,1889.877595,2.188745,3.267333,5.228709,6.542589,0.286239,0.737943,11.700977,4.933558,321.140842
4.730000,1.906267,0.952121,-24.927135,25.018042,0.000000,0.000000,3.775330,20.327526,1889.867110,1.228380,3.066601,8.703386,9.309237,0.086060,0.456428,11.700487,4.932263,321.144326
4.730417,1.825915,1.153382,-26.662067,26.749394,0.000000,0.000000,3.774595,20.327065,1889.856209,-0.052421,3.106840,10.134468,10.600125,-0.040331,0.375244,11.700501,4.930977,321.148647
4.730833,1.384012,1.072776,-25.399540,25.459831,0.000000,0.000000,3.774012,20.326618,1889.845549,-1.212792,3.026700,12.975654,13.379065,-0.093293,0.327033,11.700981,4.929713,321.154131
4.731250,1.022397,0.992552,-25.242399,25.282586,0.000000,0.000000,3.773584,20.326208,1889.834944,-2.013253,2.986715,16.932334,17.311198,-0.157126,0.234062,11.701826,4.928483,321.161087
4.731667,0.701117,0.871642,-26.346314,26.370051,0.000000,0.000000,3.773283,20.325864,1889.824142,-2.893918,2.745744,19.458070,19.862788,-0.165039,0.209824,11.703056,4.927333,321.169096
4.732083,0.500524,0.469501,-24.925175,24.934620,0.000000,0.000000,3.773069,20.325627,1889.813668,-4.134429,2.584999,20.570466,21.140478,-0.218916,0.217560,11.704729,4.926234,321.177798
4.732500,0.379774,0.670635,-24.770483,24.782470,0.000000,0.000000,3.772902,20.325403,1889.803381,-4.654555,2.745787,23.571199,24.182755,-0.227796,0.191740,11.706671,4.925107,321.187487
4.732917,0.380028,0.067233,-24.138974,24.142059,0.000000,0.000000,3.772741,20.325325,1889.793301,-5.215162,2.665646,24.672041,25.357705,-0.233898,0.212341,11.708869,4.924004,321.197746
4.733333,0.420362,0.188397,-23.821749,23.826202,0.000000,0.000000,3.772577,20.325283,1889.783408,-6.135425,2.464704,25.464253,26.308675,-0.262355,0.221322,11.711428,4.922961,321.208432
4.733750,0.299803,-0.213871,-23.035060,23.038003,0.000000,0.000000,3.772464,20.325358,1889.773821,-7.095601,2.504901,27.353060,28.369208,-0.264126,0.230152,11.714349,4.921920,321.219720
4.734167,0.018540,-0.414877,-22.084856,22.088760,0.000000,0.000000,3.772467,20.325525,1889.764729,-7.535776,2.504943,27.664876,28.782078,-0.279378,0.255517,11.717511,4.920870,321.231324
4.734583,-0.423490,-0.535405,-19.558822,19.570731,0.000000,0.000000,3.772641,20.325731,1889.756524,-8.295884,2.585295,29.081436,30.351859,-0.283699,0.263790,11.720934,4.919804,321.243243
4.735000,-0.825249,-0.413985,-17.823889,17.847785,0.000000,0.000000,3.772957,20.325907,1889.749174,-8.575967,2.504943,27.651781,29.059301,-0.306100,0.327570,11.724499,4.918721,321.254864
4.735417,-0.825058,-0.333634,-14.981610,15.008021,0.000000,0.000000,3.773348,20.326048,1889.742735,-8.735996,2.987138,27.642958,29.144017,-0.303435,0.354763,11.728161,4.917513,321.266349
4.735833,-1.508017,-0.293203,-14.977200,15.055783,0.000000,0.000000,3.773954,20.326126,1889.736648,-9.216021,2.946856,27.162843,28.834685,-0.304117,0.379509,11.731976,4.916255,321.277557
4.736250,-1.869631,0.391442,-12.765940,12.908058,0.000000,0.000000,3.774716,20.325979,1889.731362,-9.335886,3.348657,25.106891,26.994967,-0.340515,0.451640,11.735844,4.914856,321.288204
4.736667,-1.990000,0.834140,-10.079823,10.308188,0.000000,0.000000,3.775593,20.325618,1889.727030,-9.135503,3.790528,25.719796,27.556005,-0.314696,0.487248,11.739656,4.913263,321.298746
4.737083,-2.793391,1.478609,-9.286762,9.809855,0.000000,0.000000,3.776712,20.325016,1889.723434,-9.015513,4.433300,23.817075,25.849307,-0.345517,0.580514,11.743410,4.911455,321.308702
4.737500,-2.953967,1.920798,-4.551917,5.756331,0.000000,0.000000,3.777971,20.324196,1889.721264,-8.855042,4.513567,22.391154,24.497915,-0.351502,0.629810,11.747091,4.909530,321.317988
4.737917,-3.516556,2.644855,-3.760817,5.788365,0.000000,0.000000,3.779400,20.323122,1889.719807,-8.574771,5.236817,20.335865,22.682556,-0.382764,0.721606,11.750664,4.907370,321.326528
4.738333,-3.556510,2.966644,-1.389964,4.835467,0.000000,0.000000,3.780907,20.321891,1889.719227,-8.294814,5.638533,19.230779,21.689164,-0.400281,0.764974,11.754120,4.905037,321.334519
4.738750,-3.958332,3.208336,0.980888,5.188830,-5.238089,4.567167,3.782539,20.320568,1889.719658,-8.014417,5.799068,17.811049,20.373844,-0.430983,0.822621,11.757432,4.902588,321.341754
4.739167,-4.119163,3.248894,3.664064,6.399076,-1.373016,1.418057,3.784264,20.319204,1889.721196,-7.334260,6.441712,13.711572,16.831347,-0.547792,1.074528,11.760507,4.899937,321.347577
4.739583,-4.400299,3.449773,6.510263,8.581788,-0.729797,0.830343,3.786064,20.317772,1889.723865,-6.933998,6.602247,11.195241,14.731036,-0.666608,1.246796,11.763391,4.897194,321.352142
